country_code,level1_en,level2_en,level3_en,level1_vi,level2_vi,level3_vi
VN,Soc Trang,Vinh Chau Town,Lac Hoa Ward,Sóc Trăng,Thị xã Vĩnh Châu,Xã Lạc Hòa
VN,Soc Trang,Vinh Chau Town,Ward 2,Sóc Trăng,Thị xã Vĩnh Châu,Phường 2
VN,Soc Trang,Vinh Chau Town,Vinh Phuoc Ward,Sóc Trăng,Thị xã Vĩnh Châu,Phường Vĩnh Phước
VN,Soc Trang,Vinh Chau Town,Vinh Tan Ward,Sóc Trăng,Thị xã Vĩnh Châu,Xã Vĩnh Tân
VN,Soc Trang,Vinh Chau Town,Lai Hoa Ward,Sóc Trăng,Thị xã Vĩnh Châu,Xã Lai Hòa
VN,Bac Ninh,Tu Son Town,Dong Ngan Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Đông Ngàn
VN,Bac Ninh,Tu Son Town,Tam Son Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Tam Sơn
VN,Bac Ninh,Tu Son Town,Huong Mac Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Hương Mạc
VN,Bac Ninh,Tu Son Town,Tuong Giang Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Tương Giang
VN,Bac Ninh,Tu Son Town,Phu Khe Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Phù Khê
VN,Bac Ninh,Tu Son Town,Dong Ky Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Đồng Kỵ
VN,Bac Ninh,Tu Son Town,Trang Ha Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Trang Hạ
VN,Bac Ninh,Tu Son Town,Dong Nguyen Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Đồng Nguyên
VN,Bac Ninh,Tu Son Town,Chau Khe Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Châu Khê
VN,Bac Ninh,Tu Son Town,Tan Hong Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Tân Hồng
VN,Bac Ninh,Tu Son Town,Dinh Bang Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Đình Bảng
VN,Bac Ninh,Tu Son Town,Phu Chan Ward,Bắc Ninh,Thị xã Từ Sơn,Phường Phù Chẩn
VN,Binh Duong,Tan Uyen Town,Uyen Hung Ward,Bình Dương,Thị xã Tân Uyên,Phường Uyên Hưng
VN,Binh Duong,Tan Uyen Town,Tan Phuoc Khanh Ward,Bình Dương,Thị xã Tân Uyên,Phường Tân Phước Khánh
VN,Binh Duong,Tan Uyen Town,Vinh Tan Ward,Bình Dương,Thị xã Tân Uyên,Phường Vĩnh Tân
VN,Binh Duong,Tan Uyen Town,Hoi Nghia Ward,Bình Dương,Thị xã Tân Uyên,Phường Hội Nghĩa
VN,Binh Duong,Tan Uyen Town,Tan Hiep Ward,Bình Dương,Thị xã Tân Uyên,Phường Tân Hiệp
VN,Binh Duong,Tan Uyen Town,Khanh Binh Ward,Bình Dương,Thị xã Tân Uyên,Phường Khánh Bình
VN,Binh Duong,Tan Uyen Town,Phu Chanh Ward,Bình Dương,Thị xã Tân Uyên,Phường Phú Chánh
VN,Binh Duong,Tan Uyen Town,Bach Dang Ward,Bình Dương,Thị xã Tân Uyên,Xã Bạch Đằng
VN,Binh Duong,Tan Uyen Town,Tan Vinh Hiep Ward,Bình Dương,Thị xã Tân Uyên,Phường Tân Vĩnh Hiệp
VN,Binh Duong,Tan Uyen Town,Thanh Phuoc Ward,Bình Dương,Thị xã Tân Uyên,Phường Thạnh Phước
